EmployeeID,BaseSalary,OvertimePay,Deductions,GrossSalary,NetSalary
E001,3971.0,50.0,300.73,4021.0,
E002,3861.0,850.0,510.27,4711.0,4200.73
  E003  ,1618.0,1900.0,237.28,3518.0,3280.72
E004,2750.0,1950.0,313.97,4700.0,4386.03
  E005  ,1526.0,2000.0,151.16,3526.0,3374.84
  E006  ,3999.0,500.0,267.23,4499.0,4231.77
E007,2528.0,1250.0,327.37,3778.0,3450.63
E008,3244.0,400.0,217.11,3644.0,
  E009  ,2098.0,350.0,256.02,2448.0,2191.98
,3640.0,,,3990.0,3630.25
E011,2278.0,2000.0,322.77,4278.0,3955.23
E012,1861.0,1550.0,193.94,3411.0,3217.06
E013,1522.0,1700.0,173.78,3222.0,3048.22
E014,3684.0,950.0,205.84,4634.0,4428.16
,1462.0,1850.0,78.05,3312.0,3233.95
E016,2553.0,1550.0,343.81,4103.0,3759.19
E017,3137.0,1350.0,453.36,,4033.64
E018,3846.0,300.0,449.3,4146.0,3696.7
  E019  ,2340.0,300.0,295.86,2640.0,2344.14
E020,3171.0,0.0,289.32,3171.0,2881.68
  E021  ,3476.0,150.0,466.67,3626.0,3159.33
  E022  ,3375.0,200.0,246.86,3575.0,3328.14
E023,3635.0,1850.0,438.81,5485.0,5046.19
E024,2821.0,200.0,143.63,3021.0,2877.37
E025,3272.0,750.0,329.08,4022.0,3692.92
E026,3705.0,300.0,,4005.0,3681.48
,3677.0,2000.0,411.03,5677.0,5265.97
E028,2333.0,2000.0,272.2,4333.0,4060.8
E029,1658.0,1150.0,185.12,2808.0,2622.88
  E030  ,,1100.0,134.01,2463.0,
E031,1301.0,750.0,128.52,2051.0,1922.48
E032,2111.0,700.0,106.95,2811.0,2704.05
E033,2343.0,1700.0,246.4,4043.0,
E034,2287.0,1000.0,117.06,3287.0,3169.94
E035,2986.0,600.0,307.38,3586.0,3278.62
E036,1710.0,1000.0,132.48,,2577.52
  E037  ,,1750.0,406.6,4502.0,4095.4
E038,3684.0,650.0,190.52,4334.0,4143.48
E039,3736.0,700.0,490.6,4436.0,3945.4
E040,3703.0,1800.0,434.74,5503.0,5068.26
E041,1222.0,,159.61,,2512.39
E042,3934.0,1950.0,554.6,5884.0,5329.4
E043,2212.0,850.0,134.27,3062.0,2927.73
E044,3412.0,450.0,203.46,3862.0,3658.54
E045,2903.0,50.0,188.37,2953.0,2764.63
  E046  ,2916.0,700.0,201.77,3616.0,3414.23
E047,3939.0,400.0,404.32,4339.0,3934.68
E048,1755.0,1000.0,230.82,2755.0,2524.18
E049,2926.0,150.0,224.52,3076.0,2851.48
E050,2016.0,1500.0,180.81,3516.0,3335.19
E051,1887.0,950.0,164.74,2837.0,2672.26
E052,,1900.0,182.29,3912.0,3729.71
E053,1482.0,1550.0,157.83,3032.0,2874.17
E054,2983.0,850.0,444.54,3833.0,3388.46
E055,2205.0,,160.05,4005.0,3844.95
E056,,850.0,314.13,3503.0,3188.87
  E057  ,3201.0,1400.0,431.45,4601.0,4169.55
E058,2454.0,1100.0,283.13,3554.0,3270.87
  E059  ,2229.0,1700.0,302.75,3929.0,3626.25
E060,3614.0,900.0,455.21,,
E061,1718.0,400.0,101.96,2118.0,2016.04
  E062  ,2595.0,350.0,228.17,2945.0,2716.83
E063,1419.0,250.0,149.38,1669.0,1519.62
E064,3733.0,950.0,207.6,4683.0,4475.4
E065,1606.0,250.0,81.82,,1774.18
  E066  ,3045.0,900.0,204.44,3945.0,3740.56
  E067  ,3760.0,1700.0,375.95,5460.0,5084.05
E068,3637.0,950.0,339.66,4587.0,4247.34
E069,3649.0,50.0,,3699.0,3230.33
E070,3953.0,1500.0,421.33,5453.0,5031.67
,3214.0,1000.0,436.45,4214.0,3777.55
E072,2840.0,800.0,169.08,3640.0,3470.92
E073,3422.0,1150.0,351.84,4572.0,4220.16
E074,2379.0,2000.0,129.07,4379.0,
E075,1581.0,,112.48,2031.0,1918.52
E076,3176.0,1200.0,434.51,4376.0,3941.49
E077,2899.0,900.0,402.25,3799.0,3396.75
E078,2561.0,600.0,249.83,3161.0,2911.17
,3137.0,400.0,171.46,3537.0,3365.54
E080,,800.0,72.48,2062.0,1989.52
E081,2497.0,750.0,355.97,3247.0,2891.03
,1611.0,100.0,225.43,1711.0,1485.57
E083,2200.0,500.0,233.97,2700.0,2466.03
  E084  ,3238.0,800.0,172.55,4038.0,3865.45
E085,1847.0,2000.0,263.89,3847.0,3583.11
E086,3179.0,1800.0,258.92,4979.0,4720.08
E087,1400.0,700.0,204.61,2100.0,1895.39
E088,3900.0,100.0,423.94,4000.0,3576.06
,2538.0,1150.0,317.82,3688.0,3370.18
E090,2587.0,1250.0,313.73,3837.0,3523.27
  E091  ,3062.0,2000.0,275.06,5062.0,4786.94
E092,3499.0,2000.0,201.87,5499.0,5297.13
  E093  ,2446.0,400.0,,2846.0,2683.96
E094,1832.0,1950.0,135.65,3782.0,3646.35
E095,2167.0,1100.0,,3267.0,2977.78
,3062.0,1900.0,272.26,4962.0,4689.74
E097,2040.0,700.0,284.89,2740.0,2455.11
E098,1792.0,350.0,149.05,2142.0,1992.95
  E099  ,,1650.0,158.71,2914.0,2755.29
E100,1646.0,100.0,105.34,1746.0,1640.66
  E101  ,2946.0,1000.0,438.51,3946.0,3507.49
E102,2531.0,1600.0,309.84,4131.0,3821.16
  E103  ,2135.0,300.0,213.67,,2221.33
E104,1825.0,250.0,269.06,2075.0,1805.94
  E105  ,3944.0,1350.0,218.38,5294.0,5075.62
E106,2071.0,1100.0,194.07,3171.0,2976.93
  E107  ,3497.0,850.0,468.13,4347.0,3878.87
E108,,1250.0,221.66,3887.0,3665.34
E109,,1000.0,370.42,3919.0,3548.58
  E110  ,2314.0,1400.0,336.65,3714.0,3377.35
E111,1654.0,950.0,148.31,2604.0,2455.69
E112,2065.0,0.0,262.99,2065.0,1802.01
E113,2142.0,100.0,113.45,2242.0,
E114,3548.0,1250.0,274.38,4798.0,4523.62
  E115  ,2682.0,1850.0,400.31,,4131.69
E116,2107.0,350.0,208.72,2457.0,2248.28
E117,,,153.96,1999.0,1845.04
E118,3512.0,200.0,506.13,3712.0,3205.87
E119,1503.0,1150.0,140.06,2653.0,2512.94
E120,1368.0,1500.0,161.38,2868.0,2706.62
  E121  ,1545.0,1400.0,179.32,2945.0,2765.68
  E122  ,2358.0,150.0,138.11,2508.0,2369.89
E123,2363.0,1050.0,264.33,3413.0,3148.67
E124,1547.0,400.0,200.81,1947.0,1746.19
E125,1938.0,,235.1,2338.0,2102.9
E126,3356.0,400.0,195.33,3756.0,3560.67
E127,1378.0,900.0,90.15,2278.0,2187.85
E128,3121.0,900.0,378.16,4021.0,3642.84
  E129  ,3676.0,1150.0,,4826.0,4409.18
E130,2317.0,250.0,287.23,2567.0,2279.77
E131,2731.0,50.0,223.03,2781.0,2557.97
,3135.0,0.0,190.15,3135.0,2944.85
  E133  ,3693.0,750.0,186.57,4443.0,4256.43
E134,3751.0,1900.0,303.18,5651.0,5347.82
  E135  ,1206.0,550.0,103.71,1756.0,1652.29
  E136  ,3279.0,100.0,252.41,3379.0,3126.59
  E137  ,1476.0,1050.0,,2526.0,2432.64
E138,,400.0,131.77,,2185.23
E139,1371.0,1500.0,130.09,2871.0,2740.91
  E140  ,1395.0,1350.0,147.14,2745.0,2597.86
E141,3237.0,1350.0,293.93,4587.0,4293.07
E142,1620.0,1900.0,85.25,3520.0,3434.75
E143,3718.0,2000.0,317.49,5718.0,5400.51
  E144  ,1784.0,200.0,105.8,1984.0,1878.2
E145,3981.0,1800.0,437.13,5781.0,5343.87
  E146  ,2222.0,1200.0,183.19,3422.0,3238.81
E147,3706.0,400.0,328.07,4106.0,3777.93
E148,3993.0,1750.0,316.18,5743.0,5426.82
E149,3283.0,750.0,291.46,4033.0,3741.54
E150,3459.0,1250.0,202.25,4709.0,4506.75
E151,3831.0,1100.0,536.78,4931.0,4394.22
E152,1426.0,500.0,200.38,1926.0,1725.62
E153,2226.0,2000.0,329.04,4226.0,3896.96
  E154  ,3578.0,,383.55,4628.0,4244.45
  E155  ,2063.0,,138.13,3613.0,
  E156  ,1498.0,1450.0,131.93,2948.0,2816.07
E157,2507.0,1600.0,160.16,4107.0,3946.84
E158,2215.0,1950.0,177.45,4165.0,3987.55
E159,1977.0,950.0,196.34,2927.0,2730.66
  E160  ,2186.0,900.0,123.13,3086.0,2962.87
E161,2965.0,1150.0,277.13,4115.0,3837.87
E162,1501.0,850.0,138.26,2351.0,2212.74
E163,2588.0,1600.0,254.72,4188.0,3933.28
E164,3140.0,400.0,181.15,3540.0,3358.85
E165,2425.0,1700.0,182.29,4125.0,3942.71
E166,1648.0,50.0,123.04,1698.0,1574.96
  E167  ,3590.0,,403.89,4790.0,4386.11
E168,2915.0,1950.0,318.84,4865.0,4546.16
E169,3912.0,1450.0,272.1,5362.0,5089.9
E170,2342.0,900.0,142.15,3242.0,3099.85
E171,2320.0,1200.0,,3520.0,
E172,1523.0,650.0,220.66,2173.0,1952.34
  E173  ,3603.0,700.0,299.85,4303.0,4003.15
E174,1611.0,1300.0,180.46,2911.0,2730.54
E175,1442.0,100.0,188.05,1542.0,
E176,1963.0,1900.0,162.84,3863.0,3700.16
E177,1749.0,1050.0,146.0,2799.0,2653.0
E178,2408.0,2000.0,316.77,4408.0,4091.23
E179,1590.0,0.0,216.16,1590.0,1373.84
E180,2436.0,1150.0,,3586.0,3226.88
E181,2473.0,700.0,157.31,3173.0,3015.69
E182,3681.0,1700.0,302.09,5381.0,5078.91
E183,2681.0,1600.0,388.02,4281.0,3892.98
,3986.0,,279.36,,5306.64
E185,3509.0,50.0,285.7,3559.0,3273.3
  E186  ,2611.0,1500.0,382.4,4111.0,3728.6
E187,3845.0,1200.0,564.72,5045.0,4480.28
E188,2809.0,50.0,,2859.0,2636.68
E189,2140.0,600.0,255.72,2740.0,2484.28
  E190  ,1475.0,150.0,146.17,1625.0,1478.83
E191,1431.0,1000.0,153.96,2431.0,2277.04
E192,2430.0,550.0,180.41,2980.0,2799.59
  E193  ,2505.0,550.0,219.45,3055.0,2835.55
  E194  ,1436.0,400.0,189.05,1836.0,1646.95
E195,3042.0,150.0,271.63,3192.0,2920.37
E196,1970.0,650.0,120.94,2620.0,2499.06
E197,1680.0,1250.0,178.73,2930.0,2751.27
E198,2671.0,1450.0,291.73,,3829.27
  E199  ,1387.0,1750.0,145.03,3137.0,2991.97
E200,3533.0,1050.0,417.5,4583.0,4165.5
,3062.0,1900.0,272.26,4962.0,4689.74
E016,2553.0,1550.0,343.81,4103.0,3759.19
E031,1301.0,750.0,128.52,2051.0,1922.48
  E159  ,1977.0,950.0,196.34,2927.0,2730.66
E129,3676.0,1150.0,,4826.0,4409.18
E116,2107.0,350.0,208.72,2457.0,2248.28
E070,3953.0,1500.0,421.33,5453.0,5031.67
E171,2320.0,1200.0,,3520.0,
E175,1442.0,100.0,188.05,1542.0,
E046,2916.0,700.0,201.77,3616.0,3414.23
